72430 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:37 | Soft Killed
72434 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:38 | Soft Killed
72471 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:52:40 | Soft Killed
72475 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:41 | Soft Killed
72475 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:41 | Soft Killed
72491 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:41 | Soft Killed
72495 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:52:42 | Soft Killed
72477 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:43 | Soft Killed
72477 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:43 | Soft Killed
72523 | ps | CPU:600% | MEM:0.2% | 2025-12-19 10:52:43 | Soft Killed
72542 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:45 | Soft Killed
72589 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:52:48 | Soft Killed
72601 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:52:49 | Soft Killed
72605 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:52:49 | Soft Killed
72609 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:52:50 | Soft Killed
72609 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:52:50 | Soft Killed
72625 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:52:50 | Soft Killed
72651 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:52:52 | Soft Killed
72612 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:52:52 | Soft Killed
72662 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:52:52 | Soft Killed
72696 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:56 | Soft Killed
72708 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:52:56 | Soft Killed
72712 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:52:57 | Soft Killed
72724 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:57 | Soft Killed
72728 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:52:57 | Soft Killed
72754 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:52:59 | Soft Killed
72756 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:52:59 | Soft Killed
72756 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:01 | Soft Killed
72809 | ps | CPU:233% | MEM:0.2% | 2025-12-19 10:53:03 | Soft Killed
72826 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:04 | Soft Killed
72830 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:04 | Soft Killed
72834 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:04 | Soft Killed
72810 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:53:05 | Soft Killed
72857 | ps | CPU:500% | MEM:0.1% | 2025-12-19 10:53:06 | Soft Killed
72877 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:53:08 | Soft Killed
72889 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:53:08 | Soft Killed
72895 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:53:09 | Soft Killed
72891 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:53:10 | Soft Killed
72930 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:53:11 | Soft Killed
72937 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:12 | Soft Killed
72950 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:53:12 | Soft Killed
72963 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:53:13 | Soft Killed
72986 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:53:15 | Soft Killed
72965 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:53:15 | Soft Killed
73001 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:16 | Soft Killed
73008 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:53:17 | Soft Killed
73037 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:53:18 | Soft Killed
73043 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:19 | Soft Killed
73055 | ps | CPU:600% | MEM:0.1% | 2025-12-19 10:53:20 | Soft Killed
73089 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:22 | Soft Killed
73093 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:53:22 | Soft Killed
73095 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:53:22 | Soft Killed
73140 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:26 | Soft Killed
73176 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:53:29 | Soft Killed
73188 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:29 | Soft Killed
73192 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:30 | Soft Killed
73224 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:32 | Soft Killed
73247 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:53:33 | Soft Killed
73274 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:53:36 | Soft Killed
73278 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:53:36 | Soft Killed
73290 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:36 | Soft Killed
73294 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:37 | Soft Killed
